N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud,Nivel,id
81,CUSCO,ESPINAR,80808,ALTO PICHIGUA,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI,-14 a -11,20 a 31 dias,3147,306,525,ALTO,646,652,0,MUY ALTO,6,46,4,ALTO,-14.777889000000002,-71.2513737,3,40
82,CUSCO,ESPINAR,80802,CONDOROMA,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI,-20 a -14,20 a 31 dias,1412,121,175,ALTO,417,424,0,MUY ALTO,3,38,3,MUY ALTO,-15.25055,-71.09272790000001,3,41
84,CUSCO,ESPINAR,80801,ESPINAR,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,33520,3186,2561,ALTO,7380,7427,0,MEDIO,27,254,23,ALTO,-14.7895845,-71.412125,3,42
85,CUSCO,ESPINAR,80804,OCORURO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,1593,132,255,ALTO,400,400,0,MUY ALTO,7,67,6,MUY ALTO,-15.0525,-71.12888888888888,3,43
86,CUSCO,ESPINAR,80805,PALLPATA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,5552,520,717,ALTO,1414,1421,0,MUY ALTO,21,140,9,MUY ALTO,-14.890498800000001,-71.2096952,3,44
87,CUSCO,ESPINAR,80806,PICHIGUA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,3607,287,532,ALTO,831,833,0,MUY ALTO,12,97,7,ALTO,-14.6784615,-71.4047033,3,45
90,CUSCO,QUISPICANCHI,81209,MARCAPATA,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI,-14 a -11,5 a 10 dias,4512,564,580,ALTO,1117,1121,0,ALTO,21,254,15,ALTO,-13.5911247,-70.9769245,3,46
93,HUANCAVELICA,CASTROVIRREYNA,90406,COCAS,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,-11 a -5,10 a 20 dias,911,145,83,ALTO,266,266,0,ALTO,14,51,4,ALTO,-13.0746594,-75.64626609999998,3,47
94,HUANCAVELICA,CASTROVIRREYNA,90409,MOLLEPAMPA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,-11 a -5,10 a 20 dias,1672,191,184,MEDIO,440,440,0,ALTO,19,95,10,ALTO,-13.310816699999998,-75.41025379999998,3,48
97,HUANCAVELICA,HUANCAVELICA,90115,PILCHACA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA,-11 a -5,10 a 20 dias,497,59,63,ALTO,208,209,0,ALTO,2,13,2,ALTO,-12.4,-75.1,3,49
98,HUANCAVELICA,HUAYTARA,90601,HUAYTARA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,-11 a -5,5 a 10 dias,2097,281,230,ALTO,774,778,0,MEDIO,10,67,7,ALTO,-13.6040212,-75.3532422,3,50
99,HUANCAVELICA,HUAYTARA,90607,PILPICHACA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,-14 a -11,20 a 31 dias,3712,634,239,ALTO,1098,1098,0,MUY ALTO,40,447,32,ALTO,-13.3261109,-74.9975,3,51
103,HUANUCO,LAURICOCHA,101001,JESUS,1010070001,1010070001,101007,SAN MIGUEL DE CAURI,CAURI,TAMBO SAN MIGUEL DE CAURI,-11 a -5,10 a 20 dias,5736,588,553,MEDIO,1368,1380,0,ALTO,19,246,13,MEDIO,-10.0340399,-76.581879,3,52
111,PASCO,PASCO,190101,CHAUPIMARCA,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI,-11 a -5,20 a 31 dias,25824,2474,1385,MUY ALTO,5604,5657,0,ALTO,1,8,0,MUY ALTO,-10.6850405,-76.25401670000001,3,53
