N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud
62,CUSCO,CANAS,80503,KUNTURKANKI,805030005,805030005,80503,KUNTURKANKI,PUMATHALLA,TAMBO SAUSAYA,-14 a -11,20 a 31 dias,5745,541,740,ALTO,1544,1544,2,MUY ALTO,21,163,6,MUY ALTO,-14.534722222222221,-71.30694444444444
63,CUSCO,CANAS,80504,LANGUI,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,-14 a -11,20 a 31 dias,2510,244,372,ALTO,762,762,1,MUY ALTO,18,128,7,MUY ALTO,-14.432333,-71.2733149
64,CUSCO,CANAS,80505,LAYO,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,-20 a -14,20 a 31 dias,6373,700,752,MUY ALTO,1740,1740,0,MUY ALTO,24,289,17,ALTO,-14.50557,-71.15529599999999
65,CUSCO,CANAS,80506,PAMPAMARCA,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,-11 a -5,20 a 31 dias,2034,201,277,MUY ALTO,485,486,0,ALTO,8,46,3,MUY ALTO,-14.1462865,-71.4603621
66,CUSCO,CANAS,80507,QUEHUE,805070011,805070011,80507,QUEHUE,PERCCARO,TAMBO PERCCARO,-14 a -11,20 a 31 dias,3582,407,391,ALTO,904,906,1,MUY ALTO,22,187,10,ALTO,-14.3808339,-71.45516769999999
67,CUSCO,CANAS,80508,TUPAC AMARU,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU,-11 a -5,20 a 31 dias,2906,298,344,ALTO,783,783,1,MUY ALTO,14,97,11,ALTO,-13.5291167,-71.96002179999999
68,CUSCO,CANAS,80501,YANAOCA,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU,-14 a -11,20 a 31 dias,10049,1084,1288,ALTO,2522,2527,0,ALTO,59,368,20,MUY ALTO,-14.2171388,-71.4314206
69,CUSCO,CANCHIS,80603,COMBAPATA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-14 a -11,10 a 20 dias,5398,464,564,MUY ALTO,1305,1317,1,ALTO,29,249,18,ALTO,-14.1007487,-71.4306785
70,CUSCO,CANCHIS,80604,MARANGANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-20 a -14,20 a 31 dias,11195,1016,1506,ALTO,2730,2740,0,MUY ALTO,35,371,18,MUY ALTO,-14.3568964,-71.16935939999999
71,CUSCO,CANCHIS,80605,PITUMARCA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-20 a -14,10 a 20 dias,7541,841,893,ALTO,2243,2243,0,ALTO,17,191,13,MEDIO,-13.9792358,-71.4165779
72,CUSCO,CANCHIS,80601,SICUANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-20 a -14,20 a 31 dias,60363,5452,5969,MUY ALTO,13160,13170,0,MEDIO,46,476,33,ALTO,-14.2713299,-71.2220832
73,CUSCO,CHUMBIVILCAS,80702,CAPACMARCA,807030015,807030015,80703,CHAMACA,CONCHACCOLLO CENTRO,TAMBO CCONCHA CCOLLO,-11 a -5,10 a 20 dias,4596,448,589,ALTO,1229,1229,0,MUY ALTO,19,259,11,ALTO,-14.007777777777777,-72.00166666666667
74,CUSCO,CHUMBIVILCAS,80703,CHAMACA,807030015,807030015,80703,CHAMACA,CONCHACCOLLO CENTRO,TAMBO CCONCHA CCOLLO,-14 a -11,20 a 31 dias,8894,1042,859,ALTO,1871,1917,1,MUY ALTO,17,354,20,ALTO,-14.3005171,-71.84972119999999
75,CUSCO,CHUMBIVILCAS,80704,COLQUEMARCA,807040003,807040003,80704,COLQUEMARCA,YANQUE,TAMBO YANQUE LACCA LACCA,-14 a -11,10 a 20 dias,8582,881,1078,ALTO,2248,2256,1,MUY ALTO,31,432,24,ALTO,-14.2908,-72.044647
76,CUSCO,CHUMBIVILCAS,80705,LIVITACA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,-14 a -11,20 a 31 dias,13406,1719,1425,ALTO,2826,2834,1,MUY ALTO,47,634,36,ALTO,-14.3115167,-71.6880998
