Solution,Source,Destination,Item 1,Item 2,Item 3
19,C1,D2,28.0,30.0,5.0
19,C1,D3,4.0,12.0,6.0
19,C1,D4,17.0,76.0,9.0
19,C1,D5,8.0,3.0,7.0
19,C1,D6,48.0,24.0,51.0
19,C1,D7,3.0,11.0,8.0
19,C1,D8,5.0,11.0,0.0
19,C2,D1,18.0,14.0,12.0
19,C2,D2,22.0,15.0,2.0
19,C2,D3,30.0,14.0,84.0
19,C2,D4,9.0,22.0,7.0
19,C2,D5,10.0,4.0,47.0
19,C2,D6,42.0,16.0,29.0
19,C2,D7,1.0,10.0,7.0
19,C2,D8,135.0,118.0,110.0
20,A1,B3,230.0,210.0,150.0
20,A2,B1,131.0,185.0,105.0
20,A2,B3,39.0,5.0,145.0
20,B1,C1,131.0,185.0,105.0
20,B3,C2,269.0,215.0,295.0
20,C1,D1,19.0,20.0,11.0
20,C1,D2,28.0,28.0,10.0
20,C1,D3,4.0,12.0,5.0
20,C1,D4,17.0,76.0,9.0
20,C1,D5,8.0,3.0,7.0
20,C1,D6,48.0,24.0,51.0
20,C1,D7,2.0,11.0,12.0
20,C1,D8,5.0,11.0,0.0
20,C2,D1,18.0,14.0,6.0
20,C2,D2,22.0,15.0,10.0
20,C2,D3,32.0,16.0,85.0
20,C2,D4,9.0,22.0,7.0
20,C2,D5,10.0,4.0,41.0
20,C2,D6,42.0,16.0,29.0
20,C2,D7,1.0,10.0,7.0
20,C2,D8,135.0,118.0,110.0
21,A1,B3,230.0,210.0,150.0
21,A2,B1,133.0,185.0,105.0
21,A2,B3,37.0,5.0,145.0
21,B1,C1,133.0,185.0,105.0
21,B3,C2,267.0,215.0,295.0
21,C1,D1,19.0,20.0,11.0
21,C1,D2,28.0,28.0,10.0
21,C1,D3,4.0,12.0,5.0
21,C1,D4,17.0,76.0,9.0
21,C1,D5,8.0,3.0,7.0
21,C1,D6,48.0,24.0,51.0
21,C1,D7,4.0,11.0,12.0
21,C1,D8,5.0,11.0,0.0
21,C2,D1,18.0,14.0,6.0
21,C2,D2,22.0,15.0,10.0
21,C2,D3,29.0,16.0,85.0
21,C2,D4,9.0,22.0,7.0
21,C2,D5,10.0,4.0,41.0
21,C2,D6,42.0,16.0,29.0
21,C2,D7,2.0,10.0,7.0
21,C2,D8,135.0,118.0,110.0
